Country | Region,Province | State,Active,Confirmed,Deaths,Recovered,FIPS,City,Lat,Long,Last Update
Mainland China,Anhui,,1.0,,,,,,,1/22/2020 17:00
Mainland China,Beijing,,14.0,,,,,,,1/22/2020 17:00
Mainland China,Chongqing,,6.0,,,,,,,1/22/2020 17:00
Mainland China,Fujian,,1.0,,,,,,,1/22/2020 17:00
Mainland China,Gansu,,,,,,,,,1/22/2020 17:00
Mainland China,Guangdong,,26.0,,,,,,,1/22/2020 17:00
Mainland China,Guangxi,,2.0,,,,,,,1/22/2020 17:00
Mainland China,Guizhou,,1.0,,,,,,,1/22/2020 17:00
Mainland China,Hainan,,4.0,,,,,,,1/22/2020 17:00
Mainland China,Hebei,,1.0,,,,,,,1/22/2020 17:00
Mainland China,Heilongjiang,,,,,,,,,1/22/2020 17:00
Mainland China,Henan,,5.0,,,,,,,1/22/2020 17:00
Hong Kong,Hong Kong,,,,,,,,,1/22/2020 17:00
Mainland China,Hubei,,444.0,17.0,28.0,,,,,1/22/2020 17:00
Mainland China,Hunan,,4.0,,,,,,,1/22/2020 17:00
Mainland China,Inner Mongolia,,,,,,,,,1/22/2020 17:00
Mainland China,Jiangsu,,1.0,,,,,,,1/22/2020 17:00
Mainland China,Jiangxi,,2.0,,,,,,,1/22/2020 17:00
Mainland China,Jilin,,,,,,,,,1/22/2020 17:00
Mainland China,Liaoning,,2.0,,,,,,,1/22/2020 17:00
Macau,Macau,,1.0,,,,,,,1/22/2020 17:00
Mainland China,Ningxia,,1.0,,,,,,,1/22/2020 17:00
Mainland China,Qinghai,,,,,,,,,1/22/2020 17:00
Mainland China,Shaanxi,,,,,,,,,1/22/2020 17:00
Mainland China,Shandong,,2.0,,,,,,,1/22/2020 17:00
Mainland China,Shanghai,,9.0,,,,,,,1/22/2020 17:00
Mainland China,Shanxi,,1.0,,,,,,,1/22/2020 17:00
Mainland China,Sichuan,,5.0,,,,,,,1/22/2020 17:00
Taiwan,Taiwan,,1.0,,,,,,,1/22/2020 17:00
Mainland China,Tianjin,,4.0,,,,,,,1/22/2020 17:00
Mainland China,Tibet,,,,,,,,,1/22/2020 17:00
US,Washington,,1.0,,,,,,,1/22/2020 17:00
Mainland China,Xinjiang,,,,,,,,,1/22/2020 17:00
Mainland China,Yunnan,,1.0,,,,,,,1/22/2020 17:00
